x,y,z
358,238,1525
358,238,1525
350,217,1702
350,217,1702
361,263,1217
361,263,1217
361,262,1221
361,262,1221
360,263,1264
360,263,1264
359,219,1769
360,220,1789
362,262,1212
361,262,1253
357,219,1751
360,219,1775
314,157,1579
314,157,1579
359,263,1332
359,263,1332
359,258,1358
359,258,1358
321,156,1455
321,156,1455
360,235,1463
360,235,1463
358,237,1541
357,237,1618
357,235,1638
357,235,1638
356,237,1667
356,238,1678
362,237,1396
364,236,1308
364,237,1310
362,238,1378
362,263,1211
362,263,1211
361,261,1257
361,261,1257
361,262,1255
360,260,1309
360,242,1353
360,242,1353
360,242,1353
360,242,1353
360,242,1353
360,242,1353
350,220,1645
350,220,1645
353,217,1693
353,217,1693
359,215,1784
359,215,1784
359,215,1784
359,215,1784
329,142,1400
329,142,1400
351,220,1677
351,220,1677
355,217,1715
355,217,1715
326,143,1227
326,143,1227
358,220,1771
358,220,1771
327,142,1110
327,142,1110
355,219,1719
354,225,1676
354,225,1676
354,225,1676
359,240,1372
359,240,1372
306,148,1848
306,148,1848
357,217,1710
357,217,1710
363,259,1163
363,259,1163
363,259,1163
363,259,1163
363,259,1163
334,132,1430
334,132,1430
356,219,1688
354,220,1667
334,133,1651
334,133,1651
356,219,1722
334,133,1651
334,133,1651
334,133,1651
334,133,1651
334,133,1651
334,133,1651
358,218,1742
306,141,1744
306,141,1744
335,134,1977
335,134,1977
307,142,1738
307,142,1738
355,219,1711
355,219,1706
306,141,1734
306,141,1734
333,144,2029
333,144,2029
306,143,1780
306,143,1780
358,219,1791
314,142,1601
314,142,1601
357,222,1804
358,218,1800
358,218,1800
328,144,1315
328,144,1315
334,142,2011
334,142,2011
336,132,1962
336,132,1962
316,142,1479
316,142,1479
336,134,1974
336,134,1974
338,211,1607
338,211,1607
363,203,1677
363,203,1677
363,203,1677
363,203,1677
320,143,1546
320,143,1546
333,143,2016
333,143,2016
306,138,1680
306,138,1680
306,138,1680
306,138,1680
306,138,1680
306,138,1680
334,143,1989
334,143,1989
334,144,1994
334,144,1994
329,218,1620
332,220,1681
